Treinamento iniciado em 2025-05-22 12:54:41.406918
Episódio 227: Recompensa=18.40, Passos=9, Epsilon=0.101
Episódio 228: Recompensa=18.60, Passos=8, Epsilon=0.100
Episódio 229: Recompensa=18.60, Passos=8, Epsilon=0.099
Episódio 230: Recompensa=18.60, Passos=8, Epsilon=0.098
Episódio 231: Recompensa=18.20, Passos=10, Epsilon=0.097
Episódio 232: Recompensa=18.60, Passos=8, Epsilon=0.096
Episódio 233: Recompensa=18.60, Passos=8, Epsilon=0.095
Episódio 234: Recompensa=18.20, Passos=10, Epsilon=0.094
Episódio 235: Recompensa=18.60, Passos=8, Epsilon=0.093
Episódio 236: Recompensa=18.60, Passos=8, Epsilon=0.092
Episódio 237: Recompensa=8.40, Passos=10, Epsilon=0.091
Episódio 238: Recompensa=18.60, Passos=8, Epsilon=0.091
Episódio 239: Recompensa=18.60, Passos=8, Epsilon=0.090
Episódio 240: Recompensa=18.60, Passos=8, Epsilon=0.089
Episódio 241: Recompensa=18.60, Passos=8, Epsilon=0.088
Episódio 242: Recompensa=18.60, Passos=8, Epsilon=0.087
Episódio 243: Recompensa=18.20, Passos=10, Epsilon=0.086
Episódio 244: Recompensa=18.60, Passos=8, Epsilon=0.085
Episódio 245: Recompensa=18.20, Passos=10, Epsilon=0.084
Episódio 246: Recompensa=18.60, Passos=8, Epsilon=0.084
Episódio 247: Recompensa=18.60, Passos=8, Epsilon=0.083
Episódio 248: Recompensa=17.80, Passos=12, Epsilon=0.082
Episódio 249: Recompensa=18.60, Passos=8, Epsilon=0.081
Episódio 250: Recompensa=18.60, Passos=8, Epsilon=0.080
Episódio 251: Recompensa=18.60, Passos=8, Epsilon=0.079
Episódio 252: Recompensa=18.20, Passos=10, Epsilon=0.079
Episódio 253: Recompensa=18.60, Passos=8, Epsilon=0.078
Episódio 254: Recompensa=18.60, Passos=8, Epsilon=0.077
Episódio 255: Recompensa=18.60, Passos=8, Epsilon=0.076
Episódio 256: Recompensa=18.60, Passos=8, Epsilon=0.076
Episódio 257: Recompensa=18.40, Passos=9, Epsilon=0.075
Episódio 258: Recompensa=18.60, Passos=8, Epsilon=0.074
Episódio 259: Recompensa=18.40, Passos=9, Epsilon=0.073
Episódio 260: Recompensa=18.60, Passos=8, Epsilon=0.073
Episódio 261: Recompensa=18.40, Passos=9, Epsilon=0.072
Episódio 262: Recompensa=18.20, Passos=10, Epsilon=0.071
Episódio 263: Recompensa=18.60, Passos=8, Epsilon=0.070
Episódio 264: Recompensa=18.40, Passos=9, Epsilon=0.070
Episódio 265: Recompensa=18.40, Passos=9, Epsilon=0.069
Episódio 266: Recompensa=18.60, Passos=8, Epsilon=0.068
Episódio 267: Recompensa=18.60, Passos=8, Epsilon=0.068
Episódio 268: Recompensa=18.20, Passos=10, Epsilon=0.067
Episódio 269: Recompensa=18.60, Passos=8, Epsilon=0.066
Episódio 270: Recompensa=18.60, Passos=8, Epsilon=0.066
Episódio 271: Recompensa=18.60, Passos=8, Epsilon=0.065
Episódio 272: Recompensa=18.60, Passos=8, Epsilon=0.064
Episódio 273: Recompensa=18.60, Passos=8, Epsilon=0.064
Episódio 274: Recompensa=18.60, Passos=8, Epsilon=0.063
Episódio 275: Recompensa=18.60, Passos=8, Epsilon=0.062
Episódio 276: Recompensa=18.60, Passos=8, Epsilon=0.062
Episódio 277: Recompensa=17.80, Passos=12, Epsilon=0.061
Episódio 278: Recompensa=18.60, Passos=8, Epsilon=0.061
Episódio 279: Recompensa=18.60, Passos=8, Epsilon=0.060
Episódio 280: Recompensa=18.40, Passos=9, Epsilon=0.059
Episódio 281: Recompensa=18.60, Passos=8, Epsilon=0.059
Episódio 282: Recompensa=18.40, Passos=9, Epsilon=0.058
Episódio 283: Recompensa=18.60, Passos=8, Epsilon=0.058
Episódio 284: Recompensa=18.60, Passos=8, Epsilon=0.057
Episódio 285: Recompensa=18.60, Passos=8, Epsilon=0.056
Episódio 286: Recompensa=18.60, Passos=8, Epsilon=0.056
Episódio 287: Recompensa=18.20, Passos=10, Epsilon=0.055
Episódio 288: Recompensa=18.20, Passos=10, Epsilon=0.055
Episódio 289: Recompensa=18.40, Passos=9, Epsilon=0.054
Episódio 290: Recompensa=18.60, Passos=8, Epsilon=0.054
Episódio 291: Recompensa=18.20, Passos=10, Epsilon=0.053
Episódio 292: Recompensa=18.60, Passos=8, Epsilon=0.053
Episódio 293: Recompensa=18.60, Passos=8, Epsilon=0.052
Episódio 294: Recompensa=18.40, Passos=9, Epsilon=0.052
Episódio 295: Recompensa=18.60, Passos=8, Epsilon=0.051
Episódio 296: Recompensa=18.60, Passos=8, Epsilon=0.051
Episódio 297: Recompensa=18.60, Passos=8, Epsilon=0.050
Episódio 298: Recompensa=18.60, Passos=8, Epsilon=0.050
Episódio 299: Recompensa=18.40, Passos=9, Epsilon=0.050
Episódio 300: Recompensa=18.60, Passos=8, Epsilon=0.050
Episódio 301: Recompensa=18.60, Passos=8, Epsilon=0.050
Episódio 302: Recompensa=18.20, Passos=10, Epsilon=0.050
Episódio 303: Recompensa=18.60, Passos=8, Epsilon=0.050
Episódio 304: Recompensa=18.60, Passos=8, Epsilon=0.050
Episódio 305: Recompensa=18.60, Passos=8, Epsilon=0.050
Episódio 306: Recompensa=18.40, Passos=9, Epsilon=0.050
Episódio 307: Recompensa=18.40, Passos=9, Epsilon=0.050
Episódio 308: Recompensa=18.20, Passos=10, Epsilon=0.050
Episódio 309: Recompensa=18.60, Passos=8, Epsilon=0.050
Episódio 310: Recompensa=18.60, Passos=8, Epsilon=0.050
Episódio 311: Recompensa=8.20, Passos=11, Epsilon=0.050
Episódio 312: Recompensa=18.60, Passos=8, Epsilon=0.050
Episódio 313: Recompensa=18.20, Passos=10, Epsilon=0.050
Episódio 314: Recompensa=18.60, Passos=8, Epsilon=0.050
Episódio 315: Recompensa=18.60, Passos=8, Epsilon=0.050
Episódio 316: Recompensa=18.40, Passos=9, Epsilon=0.050
Episódio 317: Recompensa=18.60, Passos=8, Epsilon=0.050
Episódio 318: Recompensa=18.60, Passos=8, Epsilon=0.050
Episódio 319: Recompensa=18.40, Passos=9, Epsilon=0.050
Episódio 320: Recompensa=18.60, Passos=8, Epsilon=0.050
Episódio 321: Recompensa=18.60, Passos=8, Epsilon=0.050
Episódio 322: Recompensa=18.60, Passos=8, Epsilon=0.050
Episódio 323: Recompensa=18.60, Passos=8, Epsilon=0.050
Episódio 324: Recompensa=18.40, Passos=9, Epsilon=0.050
Episódio 325: Recompensa=18.60, Passos=8, Epsilon=0.050
Episódio 326: Recompensa=18.60, Passos=8, Epsilon=0.050
Episódio 327: Recompensa=18.60, Passos=8, Epsilon=0.050
Episódio 328: Recompensa=18.60, Passos=8, Epsilon=0.050
Episódio 329: Recompensa=18.60, Passos=8, Epsilon=0.050
Episódio 330: Recompensa=18.60, Passos=8, Epsilon=0.050
Episódio 331: Recompensa=18.60, Passos=8, Epsilon=0.050
Episódio 332: Recompensa=18.60, Passos=8, Epsilon=0.050
Episódio 333: Recompensa=18.60, Passos=8, Epsilon=0.050
Episódio 334: Recompensa=18.60, Passos=8, Epsilon=0.050
